Manufactor,Year,Model,Hand,Gear,Engine_capacity,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test
מיצובישי,2007,לנסר קלאסיק,5,אוטומטית,,בנזין,פרטית,פרטית,ירושלים והסביבה,ירושלים,7700.0,4,2023-03-25,2023-03-25,רכב במצב מצויןהוחלף לאחרונה טיימינג משאבת מים שמנים ופילטרים בלמים אחורה וקדימה תושבות מנוע ,אפור מטאלי,,
מיצובישי,2008,לנסר קלאסיק,3,אוטומטית,,בנזין,פרטית,פרטית,ירושלים והסביבה,ירושלים,8000.0,3,2023-03-25,2023-03-25,לרכב הוחלף לאחרונה טיימינג משאבת מיםבלמים קדימה תושבות גיר קדימה ואחורהשמנים ופילטרים ,אפור מטאלי,,
מיצובישי,2016,I-MIEV,1,אוטומטית,,בנזין,אחר,פרטית,מודיעין והסביבה,מודיעין מכבים רעות,1.0,4,2022-12-07,2023-01-12,"מיצובישי אאוטלנדר במצב טוב שמור ,לא עבר תאונות, טיפולים לפי הספר, מתחייב בבדיקה לרצינים בלבד פרטים בטלפון ‎0542458443 ",לבן מטאלי,,
מיצובישי,2008,לנסר,3,אוטומטית,,בנזין,פרטית,פרטית,נס ציונה - רחובות,רחובות,7500.0,6,2022-12-27,2022-12-27,"Lancer 2008יד3טסט 3/23200קממצב מכני מצויין+נסיעה שקטה, הכל עובד מעולההנחות לנהגים חדשים, חיילים ועולים חדשים‼️Скидки новым репатриантам ‼️ ",אפור מטאלי,,
מיצובישי,2015,אטראז',2,אוטומטית,,בנזין,,,יישובי השומרון,עץ אפרים,26000.0,1,2022-10-27,2022-10-27,"רכב במצב מעולה טסט לשנה.יד 1 ליסינג יד 2 פרטי מנכה. שמור מאדגלגלים חדשים מערכת מולטימדיה מצלמת דרך. פירוט: מערכת מולטימדיה, מוביליי ",,,
מיצובישי,2008,לנסר ספורטבק,1,אוטומטית,,בנזין,פרטית,פרטית,עמק יזרעאל,גן נר,18000.0,4,2022-10-24,2022-10-24,דגם: לנסר ספורט החדשה מזגן מעולהתא מיטען ענקיושבת מצוין על הכבישמאוד אמינה ונוחהבטיחות מירבית (7 כריות אוויר).  וו גרירה ,זהב מטאלי,,
מיצובישי,2014,אאוטלנדר,3,אוטומטית,200,בנזין,,,באר שבע והסביבה,קרית גת,65000.0,1,2022-10-24,2022-10-24,רכב מושלם ושמר מטופל בזמן במוסך מורשה מוכר כי קניתי אותו על חשמל יש בעיה בחלון ליד הנהג לכן אני קצת גמיש לעוד פרטים בפרטי פירוט: מותקן ברכב מערכת גז מאוד יוקרתית כולל מערכת מולטימדיה אנדרואיד ,,,
מיצובישי,2016,אאוטלנדר,2,אוטומטית,,בנזין,,,חיפה וחוף הכרמל,חיפה,100000.0,1,2022-10-19,2022-10-19,"מיצובישי אאוטלנדר תאריך עלייה לכביש 10.08.2016... 163,000 קילומטר.... קיים תיק טיפולים + טסט לשנה ... 7 מקומות. ",,,
מיצובישי,2010,לנסר הדור החדש,2,אוטומטית,,בנזין,,,פרדס חנה - כרכור,פרדס חנה כרכור,12000.0,1,2022-10-17,2022-10-17,"מצב מכני מעולה, טסט עד אוגוסט 2023, יד שניה ",,,
מיצובישי,2009,לנסר,3,אוטומטית,,בנזין,פרטית,פרטית,חיפה וחוף הכרמל,עתלית,14000.0,5,2022-06-25,2022-10-15,"מיצובישי לנסר הדור החדש 2009 1500 סמ""ק בצבע כסף,טסט לשנה, אוטו במצב מעולה, אמין מאוד, מטופל תמיד בזמן עם חלפים מקוריים. אצלי 8 שנים שימש אותי נאמנה ללא תקלות. כדאי מאוד!!! ",כסוף מטאלי,,
מיצובישי,2013,אאוטלנדר,4,טיפטרוניק,255,בנזין,,,אשדוד - אשקלון,אשקלון,65000.0,1,2022-10-14,2022-10-14,"מיצובישי אאוטלנדר במצב מעולה הדגם המשופר Elite 4 על 4ריפודי עור, חימום במושבים, מערכת אנדרואיד חדשה ברכב, וו גרירה, גגון כל ה  של הדגם המפואר פירוט: גגון, וו גרירה, מערכת מולטימדיה חדשה  ",,239,
מיצובישי,2010,גרנדיס,2,אוטומטית,,בנזין,,,בית שמש והסביבה,בית שמש,35000.0,1,2022-10-13,2022-10-13,"רכב חזק אמין ונוח במיוחד. תא מטען ענק בקיפול המושבים הוא פשוט עצום. בגרסת הבסיס הרכב שותה דלק ולכן עבר הסבה לגז שנותנת נתונים של 1 ל15 כשעבור רכב בגודל הזה זה נתון נדיר! הק""מ הגבוה כמעט לא רלוונטי שכן הרכב עבר טיפולי עומק כולל אוברול מנוע וחידוש כללי עם החלפת המון חלקים רק לאחרונה. בקיצור האופציה המוצלחת ביותר לרכב נוח ענק עם 7 מקומות אמיתיים חסכוני בדלק במחיר כזה. פירוט: גלגלי מגנזיום. מזגן מחודש. מערכת גז חסכונית. חלונות מושחרים. ",,,
מיצובישי,2008,לנסר,2,אוטומטית,,בנזין,,,,יקנעם עילית,16900.0,1,2022-10-07,2022-10-07,"מיצובישי לנסר 2008 רכב שמור מאוד טיפולים בזמן צבע די שמור נהגת יחידה מוכרת עקב מעבר לרכב חדש יותר הוחלף צמיגים, משולשים, תפוחים, הכל חדש רכב חזק מנוע 1800 יש את כל המסמכים עוד מהבעלים הקודמים שתי מפתחות שתי שלטים הרכב מבפנים מאוד שמור מצב מכני הכי טוב שיש גמישה ""לא בשבת"" ",,189,
מיצובישי,2016,אאוטלנדר,2,אוטומטית,,בנזין,,,באר שבע והסביבה,באר שבע,99000.0,1,2022-10-07,2022-10-07,"למכירה מציאה של ממש** אאוטלנדר 2016 5 מקומות כמו חדש קילומטראז רק 39 אלף פרטית ..עם   מדרכות צד ניקל איכותיות ומולטימדיה 10 כל האפליקציות פתוחות ..רכב חסכוני שקט אמין מטופל רק במיצובישי פשוט לבוא לקחת מחירון לוי יצחק 112,000 דורש מחיר סופי 99..בהצלחה פירוט: מדרכות צד איכותיות ניקל,מולטימדיה ענקית 10 אינץ פתוח כל האפליקציות ",,,
מיצובישי,2015,אאוטלנדר,2,אוטומטית,,בנזין,,,באר שבע והסביבה,שדרות,94000.0,1,2022-10-05,2022-10-05,רכב שמור מטופל בזמן2 נהגים בלבדעבר בדיקה לפני שבועיים טסט עד 12/22 פירוט: מצלמת רוורס  ,,,
מיצובישי,2010,אאוטלנדר,1,אוטומטית,,בנזין,,,פתח תקוה והסביבה,פתח תקווה,42000.0,1,2022-09-22,2022-09-22,"רכב שמור, צמיגים חדשים, מצבר חדש, טסט לשנה.  ",,,
מיצובישי,1990,לנסר,2,אוטומטית,,בנזין,,,ראש העין והסביבה,אלעד,6000.0,1,2022-09-21,2022-09-21,אספנות נוסע מעולה טסט פעם בשנה ביטוח ממש זול מזגן מחבר חדש  ,,,
מיצובישי,2008,לנסר,2,אוטומטית,,בנזין,,,אשדוד - אשקלון,אשקלון,12000.0,1,2022-09-19,2022-09-19,רכב במצב טוב. נהג הרכב יחיד. טסט מסתיים בעוד חודש. קילומרז' נמוך. יד ראשונה -ליסינג.  ,,,
מיצובישי,2016,אאוטלנדר,3,אוטומטית,,בנזין,,,אשדוד - אשקלון,אשדוד,109500.0,1,2022-09-16,2022-09-16," יד 02 ליסינג תפעולי נהג יחיד לשעבר מנוע 1.99 בנזין 150 כסגימור אינסטייל צבע כסף 128,585 קמ 7 מקומות  : וו גרירה, חיבור חשמל, מערכת Mobil Eyeטסט לשנה! פירוט: וו גרירה שקע חשמל, מערכת Mobil Eye  ",,,
מיצובישי,2016,אאוטלנדר,2,אוטומטית,,בנזין,,,אשדוד - אשקלון,אשדוד,110000.0,1,2022-09-14,2022-09-14,"ב""ה 7 מקומות שמור מאוד לאחר טיפול גדול במיציבושי טסט לשנה.+גגון. ריפודים במצב חדש. ",,,
מיצובישי,2008,לנסר,2,אוטומטית,,בנזין,,,טבריה והסביבה,טבריה,6000.0,1,2022-09-13,2022-09-13,מיציבושי לנסר במצב מצוין טסט לשנה  ,,,
מיצובישי,2016,אאוטלנדר,2,אוטומטית,,בנזין,,,,נחושה,87000.0,1,2022-09-12,2022-09-12,רכב פשוט מעולה!נאלצים להיפרד כיוון שכבר לא זקוקים ל7 מקומות ולכן עוברים למשפחתי. אתם תהנו ממנו! ,,,
מיצובישי,2016,אאוטלנדר,2,אוטומטית,,בנזין,,,,שעב,,1,2022-09-11,2022-09-11,,,150,
מיצובישי,2016,אאוטלנדר,2,אוטומטית,,בנזין,,,,שעב,,1,2022-09-11,2022-09-11,מיצופישי אווט לנדר 2016150 ק'ש7 מושביםגג ,,150,
מיצובישי,2009,לנסר הדור החדש,1,אוטומטית,,בנזין,,,הוד השרון והסביבה,הוד השרון,15000.0,1,2022-09-10,2022-09-10,"רכב יד ראשונה, קילומטרג' נמוך. גמיש במחיר. ",,,
מיצובישי,2016,אאוטלנדר,1,אוטומטית,2,בנזין,,,רעננה - כפר סבא,כפר סבא,105000.0,1,2022-09-10,2022-09-10,"רכב עם נהג יחיד בכל התקופה, ללא תאונות למעט שריטות. טסט עד יוני 2023 ",,,
מיצובישי,2016,אאוטלנדר,1,אוטומטית,,בנזין,,,חיפה וחוף הכרמל,חיפה,110000.0,1,2022-09-06,2022-09-06,"טסט לשנה , צמיגים חדשים , מערכת שמע מקורית מעולה, חניה בחניון מקורה ",,,
מיצובישי,2008,לנסר קלאסיק,3,אוטומטית,,בנזין,,,טבריה והסביבה,קצרין,8000.0,1,2022-09-04,2022-09-04,רכב פצצה לאחר טיימינג משאבת מים ועוד… ,,240,
מיצובישי,2016,אאוטלנדר,2,אוטומטית,,בנזין,,,באר שבע והסביבה,באר שבע,105000.0,1,2022-09-03,2022-09-03,"למכירה מציאה של ממש** אאוטלנדר 2016 דגם אינטנס 5 מקומות כמו חדש קילומטראז רק 39 אלף פרטית ..עם   מדרכות צד ניקל איכותיות ומולטימדיה 10 כל האפליקציות פתוחות ..רכב חסכוני שקט אמין מטופל רק במיצובישי פשוט לבוא לקחת מחירון לוי יצחק 112,000.. .בהצלחהבאר שבע ",,,
מיצובישי,2016,אאוטלנדר,1,אוטומטית,,בנזין,,,אילת והערבה,אילת,100000.0,1,2022-09-03,2022-09-03,מצב טוב מאוד. נהג יחיד. כל טיפולים בזמן. ללא תאונות. ,,,
מיצובישי,2010,גרנדיס,3,אוטומטית,,בנזין,,,באר שבע והסביבה,נתיבות,18000.0,1,2022-08-29,2022-08-29,דרושה רק החלפת מנוע והמחיר בהתאםהרכב עם מערכת גז לאחר טיפול גדול ,,,
מיצובישי,2011,גרנדיס,2,אוטומטית,,בנזין,,,,באקה אל-גרביה,40000.0,1,2022-08-23,2022-08-23,,,,
מיצובישי,2011,גרנדיס,2,אוטומטית,,בנזין,,,,באקה אל-גרביה,37000.0,1,2022-08-23,2022-08-23,,,,
מיצובישי,2016,אאוטלנדר,2,אוטומטית,,בנזין,,,נתניה והסביבה,נתניה,119000.0,1,2022-08-17,2022-08-17,הרכב שמור במצב חדש עבר שטיפה ומחכה לבעלים הבאים נמכר עקב קבלת רכב מהעבודההאוטו שמור במצב חדש יד 2 ריפודי עור חלונות כהים מגנזיום 7 מקומות הכול כחדש ,,,
מיצובישי,2011,לנסר החדשה,3,אוטומטית,,בנזין,,,חיפה וחוף הכרמל,חיפה,15500.0,1,2022-08-16,2022-08-16,מיצובישי לנסר שליטה מהגה אוטו חסכונישמור ומטופל בשמנים אחי טובים  ,,199,
מיצובישי,2016,אאוטלנדר,1,אוטומטית,,בנזין,,,רמת גן - גבעתיים,רמת גן,123000.0,1,2022-08-13,2022-08-13,שמור מאוד.  ,,,
מיצובישי,2011,לנסר,1,אוטומטית,,בנזין,,,באר שבע והסביבה,באר שבע,24000.0,1,2022-08-12,2022-08-12,מיצובישי לנסר ספורט. יד ראשונה. רכב מטופל. ,,,
מיצובישי,2016,אאוטלנדר,2,אוטומטית,,בנזין,,,באר שבע והסביבה,באר שבע,,1,2022-08-04,2022-08-04,שלום רכב במצב מצוין בלי תאונות שמור  ,,,
מיצובישי,2014,אאוטלנדר,2,אוטומטית,,בנזין,,,ירושלים והסביבה,ירושלים,69000.0,1,2022-08-03,2022-08-03,"רכב נהדר במצב מעולה!גרסה מפוארת 4X4 עם ריפוד עוד מושבים מתכווננים חשמלית עם חימום.נמכר עקב מעבר לרכב מותאם לנכה.(גמיש מעט במחיר במעמד המכירה) פירוט: גג נפתח ,תוספת וו גרירה. (מנשאהאפניים עם לוחית הרישוי במתנה)גגון (ilan&amp;ofer) ",,200,
מיצובישי,2011,לנסר הדור החדש,2,אוטומטית,,בנזין,,,נס ציונה - רחובות,נס ציונה,20000.0,1,2022-07-31,2022-07-31,יד 2 אבל אותם בעלים כמו ראשונה ( נוסף בעלים נוסף)במצב מעולה. ללא תאונות. טופל כל השנים במוסך מורשה של מיצובישי ,,,
מיצובישי,2008,לנסר קלאסיק,5,אוטומטית,,בנזין,,,ראש העין והסביבה,ראש העין,6000.0,1,2022-07-29,2022-07-29,"מיצובישי לנסר שנת 2008. 251 אלף קילומטר. יד 5 טסט עד סוף ינואר 2023. רכב שמור מאוד ומושקע. מצבר חדש באחריות נעשה טיימינג וטיפול. מחיר נמוך עקב תקלה שאין לי זמן לטפל רכב מניעה נוסע אך רועד. פירוט: גיאנטים מאוחדים, מערכת מולטימדיה אנדרואיד כולל מצלמת רוורס. ",,,
מיצובישי,2009,אאוטלנדר,3,אוטומטית,,טורבו דיזל,,,"ראשל""צ והסביבה",באר יעקב,55000.0,1,2022-07-24,2022-07-24, הנטר מצב פצצה מנוע חדש טסט שנה מלאה ,,,
מיצובישי,2008,אאוטלנדר,3,אוטומטית,,בנזין,,,נס ציונה - רחובות,רחובות,32000.0,1,2022-07-21,2022-07-21,"דגם ספורט מפנק, כסאות מעור, חימום לכסאות, קילומטר נמוך ממוצע 10.000 בשנה. פירוט: סנרוף, מערכת שמע. ",,,
מיצובישי,2011,לנסר הדור החדש,2,אוטומטית,,בנזין,,,ראש העין והסביבה,אלעד,12500.0,1,2022-07-18,2022-07-18,רכב במצב מעולה שמור נהג יחיד מזגן מקפיא ריפודים חדשים מערכת מולטימדיהמוכר אותו כי אני סטודנט ועובר לאפנוע מצורף טופס בדיקה יצא 100אחוז תקין ,,250,
מיצובישי,2008,לנסר קלאסיק,3,אוטומטית,,בנזין,,,פתח תקוה והסביבה,פתח תקווה,5500.0,1,2022-07-12,2022-07-12,"רכב מעולה מצב מכני כמו חדש !!! מזגן מקפיא !! הוחלפו צמיגים , משולשים , צלחות ורפידות לצורך המכירה במצב הכי מפנק שאפשר !! כל הקודם זוכה ",,,
מיצובישי,2005,גרנדיס,2,אוטומטית,,בנזין,,,באר שבע והסביבה,באר שבע,15000.0,1,2022-07-11,2022-07-11,רכב במצב מעולה ! ,,,
מיצובישי,2012,אאוטלנדר,1,אוטומטית,,בנזין,,,באר שבע והסביבה,דימונה,45500.0,1,2022-07-03,2022-07-03,שמור ומטופל. פירוט: מקים שמשות ודיבורית. ,,,
מיצובישי,2005,לנסר קלאסיק,3,אוטומטית,,בנזין,,,פתח תקוה והסביבה,פתח תקווה,6500.0,1,2022-06-23,2022-06-23,"רכב מעולה ואמין שירת אותנו נאמנה, מזגן תקין, לשים דלק ולנסוע. ",,,
מיצובישי,2009,לנסר הדור החדש,3,אוטומטית,,בנזין,,,חיפה וחוף הכרמל,עתלית,17500.0,1,2022-06-23,2022-06-23,"מיצובישי לנסר הדור החדש 2009 1500 סמ""ק בצבע כסף, אוטו במצב מעולה, אמין מאוד, מטופל תמיד בזמן עם חלפים מקוריים. אצלי 8 שנים שימש אותי נאמנה ללא תקלות. כדאי מאוד!!! ",,,
מיצובישי,2011,קולט,2,ידנית,,דיזל,,,קיסריה והסביבה,אור עקיבא,55000.0,1,2022-06-23,2022-06-23,,,140,
מיצובישי,2011,לנסר הדור החדש,1,אוטומטית,,בנזין,,,רמלה - לוד,רמלה,4500.0,1,2022-06-20,2022-06-20,רכב במצב טוב מזגן עובד ייש קודנית ,,,
מיצובישי,2008,לנסר קלאסיק,2,אוטומטית,,בנזין,,,רעננה - כפר סבא,כפר סבא,10000.0,1,2022-06-20,2022-06-20,"אצלמו מ 2008 , ללא תאונות. אמין ושקט. ",,,
מיצובישי,2009,לנסר הדור החדש,2,אוטומטית,,בנזין,,,נס ציונה - רחובות,מזכרת בתיה,10000.0,1,2022-06-17,2022-06-17,"מכנית-שמורה ומטופלת, ללא תקלות, ללא תאונות, טסט עד 8/22. חיצונית- שפשופי פגושים, אזורי צבע דהוי, 2 מכות קלות ביותר בפח. פירוט: מזגן טוב ",,,
מיצובישי,2011,אאוטלנדר,2,אוטומטית,,בנזין,,,חדרה וישובי עמק חפר,חדרה,37800.0,1,2022-05-31,2022-05-31,"מיצובישי אאוטלנדר, בצבע לבן, יד שניה, 224000 קילומטרים. הרכב שמור. בלי תעונות. טסט עד 01.2023. מערכת מולטימדיה חדשנית עם אופציה ל-waze. ",,,
מיצובישי,2016,אאוטלנדר,2,אוטומטית,,בנזין,,,באר שבע והסביבה,באר שבע,106000.0,1,2022-05-29,2022-05-29,"מציאה**כמו חדש חדש**למכירה אאוטלנדר 2016 דגם אינטנס 5 מקומות צבע גרניט..רכב שמור ,חסכוני ושקט..קילומטראג' רק 38 אלף!! עבר 2 ידיים פרטיות..כולל   של מערכת אנדרואיד ענקית 10 אינץ עם חנות אפליקציות פתוחה וכולל מדרכות צד ניקל איכותיות..מחירון של הרכב 108,000 ...מבאר שבע פירוט: מולטימדיה מדרכות צד ",,,
מיצובישי,2008,לנסר קלאסיק,3,אוטומטית,,בנזין,,,בקעת אונו,גני תקווה,,1,2022-05-27,2022-05-27,רכב במצב מכני מצויין ושמור . מבחינת קוסמטיקה של הרכב ובפחחות הרכב לקוי צבע דאוי וכמה מכות פח . 125 אלף קמ  ,,,
מיצובישי,2015,אאוטלנדר,2,אוטומטית,,דיזל,,,חולון - בת ים,אזור,85000.0,1,2022-05-10,2022-05-10,"אאוטלנד הדגם המפואר ביותר כולל כל ה !מושבי עור, בקרת שיוט, בלימה אוטונמית, מושב חשמלי , חימום מושבים ועןד ועוד ",,,
מיצובישי,2015,ספייס סטאר,1,אוטומטית,,בנזין,,,"ראשל""צ והסביבה",ראשון לציון,36900.0,1,2022-04-18,2022-04-18,"לבוא לקחת. התחייבות לקנייה חוזרת עד 5 שנים. שקיפות מלאה!!! מגוון אפשרויות מימון עד 100% כולל תשלום בצקים. נמצא בסוכנות ""גרינקאר"" בראשל""צ, רח' הרצל 28. הנחות ומחירים מיוחדים יינתנו בסניף, יחס אישי לכל לקוח שקיפות מלאה!!! מבחר ענק של רכבים נוספים ניתן לראות באתר של גרינקאר. לצאת עם רכב חדש באותו היום. ",,,
מיצובישי,2010,לנסר,4,אוטומטית,,בנזין,פרטית,פרטית,באר שבע והסביבה,אופקים,17000.0,7,2021-11-17,2021-11-17,מיצבושי לנסר החדשה   הרכב במצב מושלם שמור אמין וחסכוני מטופל בזמן מערכת של פיונר הרכב מושקע בהמון כסף מסך מולטימדיה ספווילר ריפודים ציפוי קרבון על הגג חצאית קדמית ובצדדים אגזוזים השחרה בפנסים חלונות שחורים מגיני רוח מתחייב בבדיקה על הרכב לעוד פרטים בטלפון ,אפור,,
מיצובישי,2008,לנסר קלאסיק,3,אוטומטית,,בנזין,פרטית,פרטית,טבריה והסביבה,טבריה,6000.0,10,2021-10-15,2021-10-15,מיצובישי לאנסר 2008 אוטמט98 כ״סיד 03230 אלף ק״מבמצב מכאני מעולהבמערכת מותקנת דיברוית ובלוטוס לשיריםבס ורמקולים של פיונירחלונות מושחרים אחורייםרכב מדהים לנסיעה! נמכר עקב שדרוג לשנה חדשה יותר ,אפור עכבר,,
מיצובישי,2008,סופר לנסר,2,אוטומטית,,בנזין,פרטית,פרטית,רמת גן - גבעתיים,בני ברק,16500.0,4,2021-10-04,2021-10-04,"רכב רחב ומפנק, קילומטרז' נמוך לגילו, ללא תאונות, מטופל בזמן.  יש דיבורית מובנית ברמקולים של הרכב, יש חלונות חשמל ננעלים עם השלט. ",בז',,
מיצובישי,2005,לנסר קלאסיק,3,אוטומטית,,בנזין,פרטית,פרטית,ירושלים והסביבה,ירושלים,4500.0,0,2023-09-29,2023-09-29,רכב תקין ללא שום בעיות.מזגן מקפיא!הושקע מולטימדיה יותר מ1000 שחטסט לעוד חצי שנה .מוכר בכ''כ זול משום שאני כבר לא משתמש עם הרכב ,כסוף,,
מיצובישי,2014,אטראז',4,אוטומטית,,בנזין,,,"ראשל""צ והסביבה",ראשון לציון,26000.0,0,2022-10-29,2022-10-29,רכב שמור מטופל בזמן ניראה כמו חדש מפתח חכם גמיש במחיר ,,,
מיצובישי,2008,לנסר,5,אוטומטית,,בנזין,,,רמת גן - גבעתיים,בני ברק,13000.0,0,2022-10-25,2022-10-25,,,,
מיצובישי,2012,לנסר הדור החדש,3,אוטומטית,,בנזין,,,ירושלים והסביבה,ירושלים,25500.0,0,2022-10-15,2022-10-15,רכב שמור ומטופלטסט לשנה ,,,
מיצובישי,2010,לנסר הדור החדש,3,אוטומטית,,בנזין,,,באר שבע והסביבה,נתיבות,14500.0,0,2022-10-14,2022-10-14,,,,
מיצובישי,2009,I-MIEV,3,אוטומטית,,דיזל,פרטית,פרטית,חולון - בת ים,בת ים,95000.0,2,2022-05-15,2022-05-15,הכול מקורי פנים וחוץ האותו 4X4 נפח 3200  וו גרירה גג נפתח הגבעה ,לבן,,
מיצובישי,2016,אאוטלנדר,3,אוטומטית,,בנזין,,,אשדוד - אשקלון,אשדוד,106500.0,0,2022-09-27,2022-09-27,"מיצובישי אאוטלנדר 08/2016 יד 02 ליסינג תפעולי נהג יחיד לשעבר מנוע 1.99 בנזין 150 כסגימור אינסטייל: חלון בגג, מפתח חכם ועוד צבע כסף 7 מקומות  : וו גרירה, חיבור חשמל, מערכת Mobil Eye, מערכת מולטימדיה מסך מגע, מצבר חדש, רדיאטור וגז למזגן, צמיג רזרבי חדש, חלונות אחוריים מושחרים ועוד. טסט לשנה! ",,,
מיצובישי,2007,לנסר,2,אוטומטית,,בנזין,,,רעננה - כפר סבא,כפר סבא,3500.0,0,2022-09-17,2022-09-17,,,,
מיצובישי,2015,אאוטלנדר,2,אוטומטית,,בנזין,,,מודיעין והסביבה,מודיעין מכבים רעות,70000.0,0,2022-09-02,2022-09-02,,,,
מיצובישי,2016,אאוטלנדר,2,אוטומטית,,בנזין,,,נתניה והסביבה,נתניה,990000.0,0,2022-09-01,2022-09-01,מיצובישי אאוטלנדר 7 מקומות מצב חדש אוטו שמור שמור ,,,
מיצובישי,2007,לנסר קלאסיק,1,אוטומטית,,בנזין,,,,תל אבי,10000.0,0,2022-08-27,2022-08-27,,,,
מיצובישי,2007,לנסר,3,אוטומטית,,בנזין,,,ירושלים והסביבה,ירושלים,6000.0,0,2022-06-27,2022-06-27,"רכב מצוין,חסכוני,טסט בעוד חודש,מזגן מעולה,ישנם קילופי צבע,יד ראשונה היתה השכרהלא בשבת! פירוט: קודנית,בלוטוס,חיישני רוורס,גלגלי מגנזיום,4 צמיגים במצב מעולה ",,,
